;index;recovered_yhat;recovered_yhat_lower;recovered_yhat_upper;ds;deaths_yhat;deaths_yhat_lower;deaths_yhat_upper;confirmed_yhat;confirmed_yhat_lower;confirmed_yhat_upper;confirmed;deaths;recovered
35;35;31694.906575741268;22476.29703360748;40697.93796870619;2020-02-26;2433.0411570166516;-2.5654518795658436;4779.215409858781;82866.85714025897;38494.8607416391;130277.80207677258;80641.0;2766.0;30368.0
36;36;34196.27058336433;24681.38640170605;43366.74304474044;2020-02-27;2723.047815297799;407.06022268864916;5087.63469761383;90294.19655388473;44172.166152761754;137979.4064534101;81999.0;2810.0;33261.0
37;37;36666.9486082385;27645.027221393084;46067.23424668901;2020-02-28;3085.7712379367485;862.1118805108364;5368.620136692367;94575.58214640818;49197.343882442845;141257.66182238143;83363.0;2866.0;36694.0
38;38;39645.44459500723;30316.250737700353;48885.53691425085;2020-02-29;2721.3128038746268;419.12329548796407;4871.062913945241;72309.512067498;28952.794995288903;120001.62145597441;85262.0;2935.0;39765.0
39;39;43063.04521407219;34058.620766904525;52941.94823647619;2020-03-01;3508.466964291795;1361.0816604230486;5703.2967048347655;103227.4905437754;56465.25160252005;149637.47179353106;87620.0;2990.0;42699.0
40;40;45238.64605431958;36226.2906683214;54683.74454597041;2020-03-02;3634.8030387194244;1430.2463009359965;6106.439357093924;106995.28286509826;59721.73490062427;155073.9416865849;89556.0;3079.0;45585.0
41;41;44338.78893342087;35920.05578030817;53651.5035153559;2020-03-03;2896.9620487287343;748.6975028870379;5021.681264123473;95997.56698007656;48478.49026946137;141970.3522856124;92089.0;3154.0;48211.0
42;42;47038.302348460355;38553.83489701719;56491.79898564007;2020-03-04;3104.7795503675147;1016.763553039185;5421.521576400916;101483.1456279699;53769.130244770924;147057.4796134856;94369.0;3248.0;51153.0
43;43;49539.667650556265;40217.90976907773;59191.8437692207;2020-03-05;3395.4159408085347;1247.4503384459194;5534.913427344867;108925.92272903882;65234.62127024079;157527.6829191158;97135.0;3342.0;53779.0
44;44;52010.346969895516;42273.03572535026;61955.96666378072;2020-03-06;3758.769095606132;1486.387827639216;6075.297907123231;113222.74600901394;68769.63378935849;159155.41264801848;101050.0;3454.0;55818.0
45;45;54988.844251132985;45849.27852926682;65146.29954746388;2020-03-07;3394.9403937038437;1084.9560695198156;5523.721039143485;90972.11361758446;44594.97385420331;136045.67377030873;105075.0;3552.0;58311.0
46;46;58406.44615685054;48147.20807587207;67534.89806864352;2020-03-08;4182.343342114816;2066.9571221974215;6482.591076024768;121907.51844954962;75487.72223391902;168080.2545435768;109047.0;3796.0;60647.0
47;47;60582.04828375783;51354.77406963509;69719.76177295457;2020-03-09;4308.928204536742;2059.9302575428105;6525.141765297939;125692.73712653312;80520.91364345659;176518.42906391388;112815.0;3982.0;62447.0
48;48;59682.19116626895;50762.00080601655;69234.79245785676;2020-03-10;3928.9959398703854;1666.232812964693;6092.331957465149;119405.69190728106;70768.14352277512;163650.89748774603;117663.0;4256.0;64356.0
49;49;62381.704584728206;52765.45069767908;71542.20690321655;2020-03-11;4494.722166837317;2210.546204454782;6667.5192623805815;129601.94122104404;85083.08158412871;175863.46078886688;124993.0;4604.0;66670.0
50;50;64883.069885210956;55853.3526099643;74624.18031952741;2020-03-12;5143.247314911993;2944.051456570726;7315.226756742682;141752.62766256856;97149.94541826892;189392.20790609997;127540.0;4713.0;67987.0
